metric,mean,sd,median,min,max
derived_cycle_period_s,1.2205439999993999,0.004850111338523222,1.21847,1.2147599999999998,1.226049999999
early_A80_pct_points,6.972265305337532,2.903850459909568,5.777603269044428,4.60448160311952,11.956393073368664
late_A80_pct_points,3.855371853301956,2.370659729105334,3.6308188476778076,1.7654397927091203,7.817220321497377
A80_retention_pct,54.173036409588335,17.253687963305044,62.842993514823284,25.545706291270722,66.67699484667214
early_centre_pct,-2.923058430918167,6.326537733190698,-1.479423820105938,-13.372498153518972,3.418377246643229
late_centre_pct,-17.700591633679256,9.162445596617925,-17.036787531678904,-32.73242374242717,-8.231002538688774
early_to_late_centre_change_pp,-14.777533202761088,4.867668303814979,-16.703209913215538,-19.3599255889082,-6.751578718582836
late_A80_CV_pct,18.37799268072527,3.4981264999376864,18.126398147678827,14.118718405345316,23.822237478108867
