sample,detected_onset_elapsed_s,pre_onset_baseline_duration_s,R0_first5_kOhm,R0_pre_onset_kOhm,R0_difference_pct,derived_cycle_period_s,cycles_with_no_data,cycles_with_lt19_points,median_points_per_cycle,early_A80_pct_points,late_A80_pct_points,A80_retention_pct,early_centre_pct,late_centre_pct,early_to_late_centre_change_pp,late_A80_CV_pct
1,5.25,4.75,4.47019347,4.47019347,0.0,1.226049999999,24,32,25.0,4.60448160311952,2.3215057535306105,50.418395676894406,-1.479423820105938,-8.231002538688774,-6.751578718582836,23.822237478108867
2,2.45,1.9500000000000002,4.649117647,4.649117647,0.0,1.218309999999,0,0,24.0,6.910906171783523,1.7654397927091203,25.545706291270722,-13.372498153518972,-32.73242374242717,-19.3599255889082,18.126398147678827
3,4.35,3.8499999999999996,4.619626168,4.614383562,0.11361443905905373,1.225129999999,0,0,25.0,5.777603269044428,3.6308188476778076,62.842993514823284,7.076330165233652e-05,-17.036787531678904,-17.036858294980558,17.333618744720663
4,41.2,40.7,4.036319218,4.00854516,0.6928712760217556,1.2147599999999998,0,0,24.0,11.956393073368664,7.817220321497377,65.38109171828113,3.418377246643229,-13.28483266657231,-16.703209913215538,14.118718405345316
5,21.65,21.15,3.749295775,3.831134565,-2.136150234649874,1.21847,0,0,24.0,5.611942409371532,3.741874551094865,66.67699484667214,-3.181818190910807,-17.217911689029126,-14.03609349811832,18.488990627772687
