stage,record,source_file,period_s,onset_shift_s,eligible_late_windows,median_late_A80_percentage_points,late_A80_CV_percent
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.19,0.0,50,2.8182262616725957,16.461599897268442
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.19,0.1,50,2.8182262616725957,17.956596518201245
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.2,-0.1,49,2.814492761969319,17.66137716206844
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.2,0.0,50,2.802828546929959,18.05799824545997
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.2,0.1,49,2.848578234995216,15.958618498316653
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.21,-0.1,48,2.8941146224232934,17.390713674653057
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.21,0.0,48,2.8362969701466554,16.952129571320054
Phase3 inward,Rect80_R3,Phase 3 master sheet.xlsx,1.21,0.1,48,2.9121561089414385,17.23264216554214
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,-0.1,50,15.18700340471283,10.149880645838508
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,0.0,50,15.302650660660872,10.007173380554484
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.19,0.1,50,15.135902578119838,10.36998622044487
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,-0.1,49,15.126671045541634,9.599416708082487
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,0.0,50,15.2499261949918,9.690621245331393
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.2,0.1,49,15.235018316937857,7.250051135983285
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,-0.1,48,15.290479508540656,6.891189301429524
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,0.0,48,15.290479508540656,6.8222408119185145
Phase3 outward,Grid80_concave,Concave_sensor_tests_Origin_simple.xlsx,1.21,0.1,48,15.290479508540656,6.8222408119185145
