specimen,valid_cycles,median_A80_pct_points,IQR_A80_pct_points,early_A80_cycles_1_50,late_A80_cycles_101_150,late_vs_early_A80_change_pct,late_A80_CV_pct,early_cycle_center_pct,late_cycle_center_pct,resistance_evolution_pct_points
1,150,10.653113959999999,3.209320512499996,12.614533725000001,8.134837984999997,-35.512178552600474,12.571032738752933,-4.838030699999999,-14.064124125,-9.226093425
2,150,3.2703289949999994,0.7389350550000002,2.8540549599999996,3.5781174399999998,25.36960535616316,15.099659065817363,5.3613749,-4.66153875,-10.02291365
3,150,3.0875754300000002,1.0555040775000002,3.690708275,2.9325685649999995,-20.541848705178428,17.91581561410176,-0.98312515,-7.9183201,-6.93519495
4,150,7.398728825000001,2.2657305899999995,5.786156729999999,8.377438385,44.78415943288837,9.239185562194718,-9.36829805,-12.217375525,-2.8490774749999996
5,150,3.1955533399999987,1.1555278450000008,4.3504214,2.75225965,-36.73579184765872,15.062645629449637,-2.6671268,-11.574576799999999,-8.907449999999999
