Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0320","0.0000","0.0001"
"0.0520","0.0000","0.0000"
"0.0720","0.0000","-0.0001"
"0.0920","0.0000","0.0000"
"0.1120","0.0001","0.0001"
"0.1320","0.0003","0.0000"
"0.1520","0.0004","0.0000"
"0.1720","0.0004","0.0000"
"0.1920","0.0005","0.0000"
"0.2120","0.0006","0.0001"
"0.2320","0.0010","0.0000"
"0.2520","0.0016","0.0000"
"0.2720","0.0021","0.0000"
"0.2920","0.0025","0.0000"
"0.3120","0.0028","0.0001"
"0.3320","0.0032","0.0001"
"0.3520","0.0036","0.0000"
"0.3720","0.0041","0.0000"
"0.3920","0.0047","-0.0001"
"0.4120","0.0052","0.0000"
"0.4320","0.0055","0.0000"
"0.4520","0.0058","0.0001"
"0.4720","0.0060","0.0001"
"0.4920","0.0063","0.0001"
"0.5120","0.0067","0.0001"
"0.5320","0.0071","0.0001"
"0.5520","0.0075","0.0001"
"0.5720","0.0078","0.0000"
"0.5920","0.0081","0.0001"
"0.6120","0.0083","0.0001"
"0.6320","0.0085","0.0001"
"0.6520","0.0088","0.0000"
"0.6720","0.0091","0.0000"
"0.6920","0.0095","0.0001"
"0.7120","0.0099","0.0000"
"0.7320","0.0103","0.0000"
"0.7520","0.0108","0.0000"
"0.7720","0.0112","0.0000"
"0.7920","0.0115","0.0001"
"0.8120","0.0118","0.0002"
"0.8320","0.0121","0.0001"
"0.8520","0.0124","0.0001"
"0.8720","0.0127","0.0000"
"0.8920","0.0130","0.0000"
"0.9120","0.0133","0.0001"
"0.9320","0.0136","0.0001"
"0.9520","0.0138","0.0001"
"0.9720","0.0141","0.0001"
"0.9920","0.0144","0.0001"
"1.0120","0.0147","0.0000"
"1.0320","0.0151","0.0001"
"1.0520","0.0156","0.0001"
"1.0720","0.0161","0.0001"
"1.0920","0.0166","0.0000"
"1.1120","0.0169","0.0001"
"1.1320","0.0172","0.0002"
"1.1520","0.0174","0.0002"
"1.1720","0.0177","0.0002"
"1.1920","0.0180","0.0001"
"1.2120","0.0184","0.0001"
"1.2320","0.0188","0.0001"
"1.2520","0.0191","0.0001"
"1.2720","0.0194","0.0002"
"1.2920","0.0197","0.0001"
"1.3120","0.0199","0.0002"
"1.3320","0.0201","0.0002"
"1.3520","0.0204","0.0001"
"1.3720","0.0207","0.0002"
"1.3920","0.0211","0.0002"
"1.4120","0.0216","0.0002"
"1.4320","0.0220","0.0001"
"1.4520","0.0225","0.0001"
"1.4720","0.0229","0.0002"
"1.4920","0.0232","0.0002"
"1.5120","0.0235","0.0002"
"1.5320","0.0238","0.0002"
"1.5520","0.0241","0.0001"
"1.5720","0.0244","0.0002"
"1.5920","0.0247","0.0002"
"1.6120","0.0250","0.0002"
"1.6320","0.0252","0.0002"
"1.6520","0.0255","0.0002"
"1.6720","0.0258","0.0002"
"1.6920","0.0261","0.0002"
"1.7120","0.0265","0.0002"
"1.7320","0.0269","0.0002"
"1.7520","0.0274","0.0001"
"1.7720","0.0279","0.0002"
"1.7920","0.0282","0.0003"
"1.8120","0.0285","0.0003"
"1.8320","0.0287","0.0003"
"1.8520","0.0290","0.0002"
"1.8720","0.0293","0.0003"
"1.8920","0.0296","0.0003"
"1.9120","0.0300","0.0002"
"1.9320","0.0304","0.0002"
"1.9520","0.0308","0.0002"
"1.9720","0.0310","0.0003"
"1.9920","0.0313","0.0003"
"2.0120","0.0315","0.0003"
"2.0320","0.0317","0.0002"
"2.0520","0.0321","0.0002"
"2.0720","0.0324","0.0002"
"2.0920","0.0329","0.0002"
"2.1120","0.0333","0.0002"
"2.1320","0.0338","0.0002"
"2.1520","0.0342","0.0002"
"2.1720","0.0346","0.0003"
"2.1920","0.0348","0.0003"
"2.2120","0.0351","0.0003"
"2.2320","0.0354","0.0003"
"2.2520","0.0357","0.0003"
"2.2720","0.0360","0.0003"
"2.2920","0.0363","0.0003"
"2.3120","0.0366","0.0004"
