Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0240","0.0000","0.0000"
"0.0440","0.0000","0.0000"
"0.0640","0.0000","0.0000"
"0.0840","0.0000","0.0000"
"0.1040","0.0001","0.0000"
"0.1240","0.0003","-0.0001"
"0.1440","0.0004","0.0000"
"0.1640","0.0004","0.0001"
"0.1840","0.0004","0.0000"
"0.2040","0.0005","0.0000"
"0.2240","0.0007","-0.0001"
"0.2440","0.0011","-0.0001"
"0.2640","0.0017","0.0000"
"0.2840","0.0023","0.0000"
"0.3040","0.0028","0.0001"
"0.3240","0.0031","0.0001"
"0.3440","0.0035","0.0001"
"0.3640","0.0040","0.0001"
"0.3840","0.0045","0.0001"
"0.4040","0.0050","0.0000"
"0.4240","0.0054","0.0000"
"0.4440","0.0058","0.0000"
"0.4640","0.0061","0.0000"
"0.4840","0.0064","0.0000"
"0.5040","0.0067","0.0000"
"0.5240","0.0070","0.0001"
"0.5440","0.0073","0.0000"
"0.5640","0.0076","0.0001"
"0.5840","0.0078","0.0001"
"0.6040","0.0081","0.0001"
"0.6240","0.0084","0.0001"
"0.6440","0.0087","0.0001"
"0.6640","0.0091","0.0001"
"0.6840","0.0096","0.0001"
"0.7040","0.0100","0.0002"
"0.7240","0.0104","0.0002"
"0.7440","0.0108","0.0001"
"0.7640","0.0110","0.0001"
"0.7840","0.0112","0.0000"
"0.8040","0.0115","0.0001"
"0.8240","0.0118","0.0001"
"0.8440","0.0122","0.0002"
"0.8640","0.0126","0.0002"
"0.8840","0.0130","0.0002"
"0.9040","0.0133","0.0001"
"0.9240","0.0136","0.0000"
"0.9440","0.0139","0.0001"
"0.9640","0.0141","0.0000"
"0.9840","0.0144","0.0001"
"1.0040","0.0147","0.0002"
"1.0240","0.0151","0.0003"
"1.0440","0.0155","0.0002"
"1.0640","0.0159","0.0002"
"1.0840","0.0164","0.0002"
"1.1040","0.0168","0.0001"
"1.1240","0.0171","0.0002"
"1.1440","0.0174","0.0003"
"1.1640","0.0177","0.0003"
"1.1840","0.0180","0.0002"
"1.2040","0.0184","0.0002"
"1.2240","0.0187","0.0001"
"1.2440","0.0190","0.0002"
"1.2640","0.0192","0.0002"
"1.2840","0.0195","0.0002"
"1.3040","0.0197","0.0002"
"1.3240","0.0200","0.0002"
"1.3440","0.0204","0.0002"
"1.3640","0.0208","0.0002"
"1.3840","0.0213","0.0002"
"1.4040","0.0217","0.0002"
"1.4240","0.0221","0.0001"
"1.4440","0.0224","0.0001"
"1.4640","0.0226","0.0003"
"1.4840","0.0229","0.0003"
"1.5040","0.0232","0.0002"
"1.5240","0.0235","0.0002"
"1.5440","0.0239","0.0002"
"1.5640","0.0243","0.0002"
"1.5840","0.0247","0.0002"
"1.6040","0.0250","0.0003"
"1.6240","0.0252","0.0003"
"1.6440","0.0255","0.0003"
"1.6640","0.0257","0.0003"
"1.6840","0.0260","0.0003"
"1.7040","0.0264","0.0003"
"1.7240","0.0268","0.0004"
"1.7440","0.0273","0.0003"
"1.7640","0.0277","0.0001"
"1.7840","0.0281","0.0001"
"1.8040","0.0285","0.0002"
"1.8240","0.0288","0.0003"
"1.8440","0.0291","0.0002"
"1.8640","0.0293","0.0002"
"1.8840","0.0296","0.0002"
"1.9040","0.0300","0.0002"
"1.9240","0.0302","0.0003"
"1.9440","0.0305","0.0003"
"1.9640","0.0308","0.0003"
"1.9840","0.0311","0.0002"
"2.0040","0.0314","0.0002"
"2.0240","0.0317","0.0003"
"2.0440","0.0321","0.0003"
"2.0640","0.0326","0.0003"
"2.0840","0.0330","0.0003"
"2.1040","0.0335","0.0003"
"2.1240","0.0338","0.0003"
"2.1440","0.0340","0.0003"
"2.1640","0.0343","0.0003"
"2.1840","0.0345","0.0003"
"2.2040","0.0349","0.0002"
"2.2240","0.0352","0.0003"
"2.2440","0.0356","0.0003"
"2.2640","0.0360","0.0003"
"2.2840","0.0363","0.0004"
"2.3040","0.0366","0.0003"
