Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0230","0.0000","0.0000"
"0.0430","0.0000","0.0000"
"0.0630","0.0000","-0.0001"
"0.0830","0.0000","0.0000"
"0.1030","0.0001","0.0001"
"0.1230","0.0003","0.0001"
"0.1430","0.0004","0.0001"
"0.1630","0.0004","0.0000"
"0.1830","0.0005","0.0000"
"0.2030","0.0006","0.0000"
"0.2230","0.0009","0.0001"
"0.2430","0.0014","0.0001"
"0.2630","0.0020","0.0001"
"0.2830","0.0026","0.0001"
"0.3030","0.0029","0.0000"
"0.3230","0.0032","0.0000"
"0.3430","0.0035","0.0000"
"0.3630","0.0039","0.0001"
"0.3830","0.0043","0.0000"
"0.4030","0.0048","0.0001"
"0.4230","0.0053","0.0002"
"0.4430","0.0058","0.0000"
"0.4630","0.0061","0.0000"
"0.4830","0.0064","0.0000"
"0.5030","0.0067","0.0001"
"0.5230","0.0070","0.0001"
"0.5430","0.0073","0.0002"
"0.5630","0.0076","0.0001"
"0.5830","0.0078","0.0001"
"0.6030","0.0081","0.0000"
"0.6230","0.0084","0.0001"
"0.6430","0.0087","0.0001"
"0.6630","0.0090","0.0001"
"0.6830","0.0094","0.0000"
"0.7030","0.0099","0.0001"
"0.7230","0.0103","0.0001"
"0.7430","0.0108","0.0000"
"0.7630","0.0111","0.0000"
"0.7830","0.0114","0.0000"
"0.8030","0.0116","0.0001"
"0.8230","0.0119","0.0002"
"0.8430","0.0122","0.0001"
"0.8630","0.0125","0.0001"
"0.8830","0.0129","0.0001"
"0.9030","0.0133","0.0000"
"0.9230","0.0136","0.0001"
"0.9430","0.0139","0.0002"
"0.9630","0.0142","0.0002"
"0.9830","0.0144","0.0001"
"1.0030","0.0147","0.0001"
"1.0230","0.0150","0.0000"
"1.0430","0.0154","0.0001"
"1.0630","0.0158","0.0001"
"1.0830","0.0163","0.0001"
"1.1030","0.0167","0.0001"
"1.1230","0.0171","0.0001"
"1.1430","0.0174","0.0001"
"1.1630","0.0177","0.0001"
"1.1830","0.0180","0.0001"
"1.2030","0.0183","0.0001"
"1.2230","0.0186","0.0000"
"1.2430","0.0189","0.0002"
"1.2630","0.0192","0.0002"
"1.2830","0.0195","0.0002"
"1.3030","0.0197","0.0001"
"1.3230","0.0200","0.0001"
"1.3430","0.0203","0.0002"
"1.3630","0.0207","0.0002"
"1.3830","0.0211","0.0002"
"1.4030","0.0216","0.0001"
"1.4230","0.0221","0.0001"
"1.4430","0.0224","0.0001"
"1.4630","0.0227","0.0001"
"1.4830","0.0230","0.0001"
"1.5030","0.0232","0.0001"
"1.5230","0.0235","0.0001"
"1.5430","0.0239","0.0001"
"1.5630","0.0243","0.0001"
"1.5830","0.0247","0.0002"
"1.6030","0.0251","0.0001"
"1.6230","0.0253","0.0001"
"1.6430","0.0256","0.0001"
"1.6630","0.0258","0.0002"
"1.6830","0.0261","0.0002"
"1.7030","0.0263","0.0002"
"1.7230","0.0267","0.0001"
"1.7430","0.0271","0.0001"
"1.7630","0.0276","0.0002"
"1.7830","0.0281","0.0001"
"1.8030","0.0285","0.0001"
"1.8230","0.0288","0.0000"
"1.8430","0.0291","0.0001"
"1.8630","0.0294","0.0001"
"1.8830","0.0297","0.0002"
"1.9030","0.0300","0.0002"
"1.9230","0.0303","0.0003"
"1.9430","0.0306","0.0003"
"1.9630","0.0308","0.0002"
"1.9830","0.0311","0.0003"
"2.0030","0.0314","0.0002"
"2.0230","0.0317","0.0002"
"2.0430","0.0320","0.0002"
"2.0630","0.0324","0.0002"
"2.0830","0.0328","0.0001"
"2.1030","0.0333","0.0001"
"2.1230","0.0338","0.0002"
"2.1430","0.0341","0.0002"
"2.1630","0.0344","0.0002"
"2.1830","0.0346","0.0002"
"2.2030","0.0349","0.0002"
"2.2230","0.0352","0.0001"
"2.2430","0.0356","0.0001"
"2.2630","0.0360","0.0001"
"2.2830","0.0364","0.0003"
"2.3030","0.0367","0.0002"
