sample,repeat,stage,maximum_displacement_mm,valid_cycles,median_A80_pct_points,IQR_A80_pct_points,early_median_A80_pct_points,late_median_A80_pct_points,late_vs_early_change_pct,median_dR_R0_pct
57,Repeat 1,Low,1.0,50,3.53254875,1.141304335,2.937944465,4.167522205,41.85163316216734,-1.53192865
57,Repeat 1,Medium,2.0,50,7.024871424999998,1.5020069875000006,5.14462358,8.342665849999998,62.16280394998301,-9.0537044
57,Repeat 1,High,3.0,50,8.127960899999996,2.4574164949999995,9.61225358,6.617196189999998,-31.158743005196527,-19.079190349999998
59,Repeat 2,Low,1.0,50,3.731565510000001,0.8451724499999997,4.792470810000001,3.497891795,-27.01276786702016,0.7512539500000001
59,Repeat 2,Medium,2.0,50,4.7337910149999995,0.8476395600000002,4.659770775,5.261271409999999,12.908373910302464,1.0030406250000001
59,Repeat 2,High,3.0,50,5.87435758,0.7092072449999982,6.1437335399999995,5.78289067,-5.873348309308348,-1.8986357749999998
60,Repeat 3,Low,1.0,50,3.1618024800000004,1.3649622325000004,4.313603995,2.8517299250000008,-33.889853396243424,-5.5941211
60,Repeat 3,Medium,2.0,50,3.175680849999999,0.7807379699999997,2.62737367,3.3891720149999998,28.994670750430405,-10.09012765
60,Repeat 3,High,3.0,50,3.3977892999999977,0.5492297199999991,3.187465790000001,3.3585734600000015,5.368141378546386,-14.6184162
61,Repeat 4,Low,1.0,50,3.848335715,1.1637351649999994,5.056141639999999,4.136356245000001,-18.19144835111855,-3.8230037749999997
61,Repeat 4,Medium,2.0,50,5.272379279999999,1.2257725449999954,4.836492574999999,6.608273645,36.63359433566381,-7.000027750000001
61,Repeat 4,High,3.0,50,8.103123105000002,4.6991682149999985,6.060248444999999,11.121259444999998,83.51160923403363,-8.680848300000001
62,Repeat 5,Low,1.0,50,3.1012300250000013,0.9149970575000004,2.887152765,3.1858019750000004,10.344073705431386,-7.294143825
62,Repeat 5,Medium,2.0,50,2.951167159999999,0.5531078574999984,3.2267714749999987,2.703144655000001,-16.227576822743483,-11.1306861
62,Repeat 5,High,3.0,50,3.5414913849999987,0.34998336249999795,3.597126864999999,3.5169051000000007,-2.23016223810606,-12.960028050000002
