stage,maximum_displacement_mm,n_sensors,median_A80_pct_points,Q1_A80_pct_points,Q3_A80_pct_points,mean_A80_pct_points,SD_A80_pct_points
Low,1.0,5,3.53254875,3.1618024800000004,3.731565510000001,3.4750964960000004,0.33403364719401557
Medium,2.0,5,4.7337910149999995,3.175680849999999,5.272379279999999,4.631577945999998,1.6652585611250335
High,3.0,5,5.87435758,3.5414913849999987,8.103123105000002,5.808944453999999,2.3238106868543547
