sample,cycle,mean_absolute_hysteresis_pp,absolute_loop_area_pp_mm,signed_loop_area_pp_mm,response_at_3mm_pct,recovery_at_0p1mm_pct,median_plateau_noise_pct_R
1,1,3.854465538907803,8.317493245518751,6.026475303300764,8.916506706322199,2.078545033848376,0.655496779380202
1,2,4.122433778207268,8.479041189869001,5.115346280954393,6.951379147899852,3.489594262181962,0.7293756461747214
1,3,5.014836674163009,11.475191350768938,10.138564308905735,6.165663186799594,1.4303739266709325,0.65676526963794
1,4,2.9389557326038784,5.738784107015547,3.7108343528066534,2.5298684328921923,1.1822184923551182,0.7272694181984605
1,5,2.805785513534177,6.233573794019642,4.671793814388038,3.947555655918369,-1.2644091299406517,0.7974401749605933
2,1,3.173001780068276,6.6160597891935815,6.6160597891935815,8.700343757171925,4.76618708420876,0.43735377519168606
2,2,1.1512276472131149,2.59757816462265,2.59757816462265,4.817609275092387,4.920561834338742,0.47285120736462305
2,3,0.9149193461130535,1.801436786777565,1.5734560517168297,2.781044087637852,4.6120284408602386,0.43520928411029147
2,4,1.503295891070931,3.470534600734208,3.118756480988815,3.743117588775008,2.228407095789092,0.43574965844830277
2,5,2.7868665260529477,5.842695003090451,5.344560792299795,1.6788874242708578,3.387551699262968,0.5822200816069809
3,1,2.311985028501641,4.396022424251319,-3.5921221363413705,2.7271637617923394,1.2017484749115106,0.44396641716970653
3,2,2.7161960170186,5.896691694614276,5.896691694614276,4.802294151583818,2.0120546410222984,0.44487567640951703
3,3,2.531118281622657,5.2927576577398,5.2927576577398,3.189927278195046,0.6990351794962094,0.4437738194577465
3,4,2.96659852898508,5.629266415886498,5.629266415886498,1.504749052090265,-2.161473518406554,0.4432628917680248
3,5,1.8117307993537572,3.570541450411479,3.570541450411479,-0.04970591825421873,-1.7724280198009013,0.5162920980469903
4,1,5.177321253065837,10.49964482723315,10.49964482723315,-2.0740855320361087,0.7040578628486331,1.0838517269266712
4,2,2.545487663190567,5.0365143501834115,-4.184774326420289,-5.107062284193618,-6.355800006580645,0.8626186010765278
4,3,1.5778626953103438,3.532201936562331,1.164338642922673,-8.69519712274656,-7.826719401072667,0.7827284117985157
4,4,2.3116221215462374,4.086369545221906,2.9451302272049698,-7.972174453141406,-11.654732643958594,0.9759317888478263
4,5,2.119033954865547,3.630152313535713,2.003050737504672,-11.331914861486123,,0.6940847690195232
5,1,1.3332668793097973,2.334980800981402,1.1503705972896088,4.889584372457196,2.1794624337647033,0.41027962241728666
5,2,1.624222429342844,2.967556361930881,0.5946380657788706,4.783799621161742,1.8720592627964572,0.4489211471223987
5,3,1.7126789144843293,3.6731277928803165,3.5157634997269818,6.276328417185264,0.05005505707012902,0.5980515743341912
5,4,2.454616369295079,5.336215512368229,4.391444224420834,5.2076950808435125,-0.05005505707010889,0.5602746330084104
5,5,2.721417627950291,5.625779777194895,5.625779777194895,5.740414876818664,,0.5950627909029549
