sample,timing_shift_from_selected_s,selected_alignment_offset_s,specimen_median_MAH_pp
1,-1.0,17.7,3.8223611896306835
1,0.0,17.7,3.854465538907803
1,1.0,17.7,4.105573662382334
2,-1.0,20.200000000000003,1.4049979167286994
2,0.0,20.200000000000003,1.503295891070931
2,1.0,20.200000000000003,1.695451213525267
3,-1.0,17.900000000000002,2.7085305605231125
3,0.0,17.900000000000002,2.531118281622657
3,1.0,17.900000000000002,2.477698462170262
4,-1.0,43.6,2.1832256405824046
4,0.0,43.6,2.3116221215462374
4,1.0,43.6,2.4037018551008478
5,-1.0,20.400000000000002,1.570406146459018
5,0.0,20.400000000000002,1.7126789144843293
5,1.0,20.400000000000002,1.6366423400878702
