sample,alignment_offset_s,median_MAH_pp,median_absolute_area_pp_mm,median_signed_area_pp_mm,median_3mm_response_pct,cycle1_3mm_response_pct,cycle5_3mm_response_pct,change_3mm_cycle1_to_5_pp,relative_change_3mm_cycle1_to_5_pct,median_recovery_0p1mm_pct,median_plateau_noise_pct_R
1,17.7,3.854465538907803,8.317493245518751,5.115346280954393,6.165663186799594,8.916506706322199,3.947555655918369,-4.96895105040383,-55.72755355951926,1.4303739266709325,0.7272694181984605
2,20.200000000000003,1.503295891070931,3.470534600734208,3.118756480988815,3.743117588775008,8.700343757171925,1.6788874242708578,-7.021456332901067,-80.70320586026378,4.6120284408602386,0.43735377519168606
3,17.900000000000002,2.531118281622657,5.2927576577398,5.2927576577398,2.7271637617923394,2.7271637617923394,-0.04970591825421873,-2.776869680046558,-101.8226231570909,0.6990351794962094,0.44396641716970653
4,43.6,2.3116221215462374,4.086369545221906,2.003050737504672,-7.972174453141406,-2.0740855320361087,-11.331914861486123,-9.257829329450015,-446.3571625400471,-7.0912597038266565,0.8626186010765278
5,20.400000000000002,1.7126789144843293,3.6731277928803165,3.5157634997269818,5.2076950808435125,4.889584372457196,5.740414876818664,0.8508305043614683,17.400875811738878,0.9610571599332931,0.5602746330084104
