Time,Displacement,Force
(s),(mm),(kN)
"3.7070","0.0597","0.0005"
"3.7270","0.0600","0.0004"
"3.7470","0.0604","0.0005"
"3.7670","0.0609","0.0004"
"3.7870","0.0613","0.0004"
"3.8070","0.0618","0.0004"
"3.8270","0.0621","0.0005"
"3.8470","0.0625","0.0005"
"3.8670","0.0628","0.0005"
"3.8870","0.0631","0.0004"
"3.9070","0.0634","0.0004"
"3.9270","0.0637","0.0005"
"3.9470","0.0640","0.0005"
"3.9670","0.0642","0.0004"
"3.9870","0.0645","0.0004"
"4.0070","0.0647","0.0005"
"4.0270","0.0650","0.0004"
"4.0470","0.0654","0.0005"
"4.0670","0.0658","0.0005"
"4.0870","0.0663","0.0005"
"4.1070","0.0669","0.0004"
"4.1270","0.0673","0.0005"
"4.1470","0.0676","0.0005"
"4.1670","0.0679","0.0005"
"4.1870","0.0681","0.0004"
"4.2070","0.0683","0.0003"
"4.2270","0.0686","0.0004"
"4.2470","0.0690","0.0005"
"4.2670","0.0693","0.0005"
"4.2870","0.0697","0.0005"
"4.3070","0.0700","0.0004"
"4.3270","0.0702","0.0004"
"4.3470","0.0705","0.0004"
"4.3670","0.0707","0.0004"
"4.3870","0.0710","0.0004"
"4.4070","0.0713","0.0004"
"4.4270","0.0717","0.0004"
"4.4470","0.0722","0.0004"
"4.4670","0.0727","0.0004"
"4.4870","0.0731","0.0005"
"4.5070","0.0735","0.0006"
"4.5270","0.0738","0.0006"
"4.5470","0.0741","0.0006"
"4.5670","0.0744","0.0006"
"4.5870","0.0747","0.0006"
"4.6070","0.0751","0.0006"
"4.6270","0.0754","0.0005"
"4.6470","0.0756","0.0005"
"4.6670","0.0759","0.0005"
"4.6870","0.0761","0.0005"
"4.7070","0.0764","0.0005"
"4.7270","0.0768","0.0006"
"4.7470","0.0771","0.0006"
"4.7670","0.0776","0.0006"
"4.7870","0.0780","0.0006"
"4.8070","0.0785","0.0006"
"4.8270","0.0788","0.0006"
"4.8470","0.0791","0.0006"
"4.8670","0.0794","0.0005"
"4.8870","0.0796","0.0006"
"4.9070","0.0799","0.0006"
"4.9270","0.0803","0.0005"
"4.9470","0.0807","0.0005"
"4.9670","0.0811","0.0006"
"4.9870","0.0814","0.0005"
"5.0070","0.0817","0.0005"
"5.0270","0.0819","0.0004"
"5.0470","0.0821","0.0005"
"5.0670","0.0824","0.0006"
"5.0870","0.0827","0.0006"
"5.1070","0.0831","0.0006"
"5.1270","0.0835","0.0005"
"5.1470","0.0839","0.0005"
"5.1670","0.0844","0.0005"
"5.1870","0.0848","0.0006"
"5.2070","0.0852","0.0007"
"5.2270","0.0855","0.0005"
"5.2470","0.0858","0.0005"
"5.2670","0.0861","0.0005"
"5.2870","0.0864","0.0005"
"5.3070","0.0867","0.0006"
"5.3270","0.0870","0.0006"
"5.3470","0.0872","0.0006"
"5.3670","0.0875","0.0006"
"5.3870","0.0877","0.0007"
"5.4070","0.0880","0.0007"
"5.4270","0.0884","0.0007"
"5.4470","0.0888","0.0007"
"5.4670","0.0893","0.0007"
"5.4870","0.0898","0.0006"
"5.5070","0.0902","0.0006"
"5.5270","0.0905","0.0006"
"5.5470","0.0908","0.0005"
"5.5670","0.0910","0.0005"
"5.5870","0.0913","0.0005"
"5.6070","0.0916","0.0005"
"5.6270","0.0920","0.0005"
"5.6470","0.0924","0.0006"
"5.6670","0.0927","0.0007"
"5.6870","0.0930","0.0007"
"5.7070","0.0932","0.0007"
"5.7270","0.0935","0.0006"
"5.7470","0.0937","0.0006"
"5.7670","0.0940","0.0006"
"5.7870","0.0944","0.0006"
"5.8070","0.0948","0.0006"
"5.8270","0.0952","0.0005"
"5.8470","0.0957","0.0006"
"5.8670","0.0961","0.0007"
"5.8870","0.0965","0.0007"
"5.9070","0.0968","0.0006"
"5.9270","0.0971","0.0006"
"5.9470","0.0974","0.0007"
"5.9670","0.0977","0.0007"
"5.9870","0.0980","0.0006"
"6.0070","0.0983","0.0006"
"6.0270","0.0986","0.0005"
"6.0470","0.0989","0.0006"
"6.0670","0.0991","0.0007"
"6.0870","0.0994","0.0007"
"6.1070","0.0997","0.0006"
"6.1240","0.1000","0.0007"
"6.1250","0.1000","0.0007"
"6.1260","0.1000","0.0007"
"6.1460","0.1003","0.0006"
"6.1660","0.1005","0.0006"
"6.1860","0.1005","0.0007"
"6.2060","0.1005","0.0006"
"6.2260","0.1005","0.0006"
"6.2460","0.1005","0.0006"
"6.2660","0.1005","0.0006"
"6.2860","0.1005","0.0006"
"6.3060","0.1005","0.0006"
"6.3260","0.1004","0.0007"
"6.3460","0.1004","0.0007"
"6.3660","0.1004","0.0006"
"6.3860","0.1004","0.0006"
"6.4060","0.1004","0.0005"
"6.4260","0.1004","0.0005"
"6.4460","0.1004","0.0006"
"6.4660","0.1004","0.0007"
"6.4860","0.1003","0.0007"
"6.5060","0.1003","0.0007"
"6.5260","0.1003","0.0006"
"6.5460","0.1003","0.0006"
"6.5660","0.1003","0.0006"
"6.5860","0.1003","0.0007"
"6.6060","0.1003","0.0007"
"6.6260","0.1002","0.0006"
"6.6460","0.1002","0.0006"
"6.6660","0.1002","0.0006"
"6.6860","0.1002","0.0006"
"6.7060","0.1002","0.0006"
"6.7260","0.1002","0.0006"
"6.7460","0.1001","0.0006"
"6.7660","0.1001","0.0007"
"6.7860","0.1001","0.0006"
"6.8060","0.1001","0.0006"
"6.8260","0.1001","0.0005"
"6.8460","0.1001","0.0005"
"6.8660","0.1001","0.0006"
"6.8860","0.1001","0.0006"
"6.9060","0.1001","0.0006"
"6.9260","0.1001","0.0007"
"6.9460","0.1001","0.0007"
"6.9660","0.1001","0.0006"
"6.9860","0.1000","0.0006"
"7.0060","0.1000","0.0007"
"7.0260","0.1000","0.0006"
"7.0460","0.1000","0.0005"
"7.0660","0.1000","0.0006"
"7.0860","0.1000","0.0007"
"7.1060","0.1000","0.0007"
"7.1260","0.1000","0.0007"
"7.1460","0.1000","0.0007"
"7.1660","0.1000","0.0006"
"7.1860","0.1000","0.0006"
"7.2060","0.1000","0.0006"
"7.2260","0.1000","0.0006"
"7.2460","0.1000","0.0006"
"7.2660","0.1000","0.0006"
"7.2860","0.1000","0.0006"
"7.3060","0.1000","0.0006"
"7.3260","0.1000","0.0006"
"7.3460","0.1000","0.0006"
"7.3660","0.1000","0.0007"
"7.3860","0.1000","0.0006"
"7.4060","0.1000","0.0006"
"7.4260","0.1000","0.0006"
"7.4460","0.1000","0.0005"
"7.4660","0.1000","0.0005"
"7.4860","0.1000","0.0006"
"7.5060","0.1000","0.0006"
"7.5260","0.1000","0.0007"
"7.5460","0.1000","0.0007"
"7.5660","0.1000","0.0006"
"7.5860","0.1000","0.0006"
"7.6060","0.1000","0.0007"
"7.6260","0.1000","0.0006"
"7.6460","0.1000","0.0006"
"7.6660","0.1000","0.0006"
"7.6860","0.1000","0.0006"
"7.7060","0.1000","0.0006"
"7.7260","0.1000","0.0006"
"7.7460","0.1000","0.0006"
"7.7660","0.1000","0.0005"
"7.7860","0.1000","0.0006"
"7.8060","0.1000","0.0007"
"7.8260","0.1000","0.0006"
"7.8460","0.1000","0.0006"
"7.8660","0.1000","0.0006"
"7.8860","0.1000","0.0006"
"7.9060","0.1000","0.0006"
"7.9260","0.1000","0.0007"
"7.9460","0.1000","0.0007"
"7.9660","0.1000","0.0006"
"7.9860","0.1000","0.0005"
"8.0060","0.1000","0.0005"
"8.0260","0.1000","0.0006"
"8.0460","0.1000","0.0007"
"8.0660","0.1000","0.0007"
"8.0860","0.1000","0.0007"
"8.1060","0.1000","0.0006"
"8.1260","0.1000","0.0006"
"8.1460","0.1000","0.0007"
"8.1660","0.1000","0.0007"
"8.1860","0.1000","0.0006"
"8.2060","0.1000","0.0004"
"8.2260","0.1000","0.0004"
"8.2460","0.1000","0.0005"
"8.2660","0.1000","0.0006"
"8.2860","0.1000","0.0006"
"8.3060","0.1000","0.0006"
"8.3260","0.1000","0.0006"
"8.3460","0.1000","0.0006"
"8.3660","0.1000","0.0006"
"8.3860","0.1000","0.0006"
"8.4060","0.1000","0.0005"
