Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0001"
"0.0230","0.0000","0.0001"
"0.0430","0.0000","0.0000"
"0.0630","0.0000","0.0001"
"0.0830","0.0000","0.0001"
"0.1030","0.0001","0.0001"
"0.1230","0.0003","0.0000"
"0.1430","0.0003","-0.0001"
"0.1630","0.0004","-0.0001"
"0.1830","0.0004","0.0000"
"0.2030","0.0004","0.0000"
"0.2230","0.0006","0.0000"
"0.2430","0.0010","0.0000"
"0.2630","0.0017","0.0000"
"0.2830","0.0025","0.0000"
"0.3030","0.0031","0.0001"
"0.3230","0.0036","0.0001"
"0.3430","0.0039","0.0000"
"0.3630","0.0043","0.0000"
"0.3830","0.0046","0.0000"
"0.4030","0.0050","0.0000"
"0.4230","0.0053","0.0000"
"0.4430","0.0055","0.0000"
"0.4630","0.0058","0.0001"
"0.4830","0.0061","0.0001"
"0.5030","0.0064","0.0001"
"0.5230","0.0068","0.0002"
"0.5430","0.0072","0.0001"
"0.5630","0.0077","0.0001"
"0.5830","0.0081","0.0001"
"0.6030","0.0085","0.0002"
"0.6230","0.0088","0.0002"
"0.6430","0.0091","0.0001"
"0.6630","0.0094","0.0001"
"0.6830","0.0097","0.0000"
"0.7030","0.0100","0.0001"
"0.7230","0.0103","0.0000"
"0.7430","0.0106","0.0000"
"0.7630","0.0109","0.0000"
"0.7830","0.0111","0.0000"
"0.8030","0.0114","0.0000"
"0.8230","0.0117","0.0001"
"0.8430","0.0121","0.0001"
"0.8630","0.0125","0.0000"
"0.8830","0.0130","0.0000"
"0.9030","0.0134","0.0000"
"0.9230","0.0138","0.0001"
"0.9430","0.0141","0.0002"
"0.9630","0.0144","0.0002"
"0.9830","0.0146","0.0002"
"1.0030","0.0149","0.0002"
"1.0230","0.0152","0.0001"
"1.0430","0.0156","0.0001"
"1.0630","0.0161","0.0000"
"1.0830","0.0164","0.0000"
"1.1030","0.0167","0.0001"
"1.1230","0.0170","0.0002"
"1.1430","0.0172","0.0002"
"1.1630","0.0174","0.0002"
"1.1830","0.0177","0.0001"
"1.2030","0.0181","0.0000"
"1.2230","0.0185","0.0001"
"1.2430","0.0190","0.0002"
"1.2630","0.0194","0.0003"
"1.2830","0.0198","0.0002"
"1.3030","0.0202","0.0001"
"1.3230","0.0205","0.0002"
"1.3430","0.0208","0.0002"
"1.3630","0.0211","0.0002"
"1.3830","0.0214","0.0002"
"1.4030","0.0217","0.0001"
"1.4230","0.0220","0.0001"
"1.4430","0.0222","0.0001"
"1.4630","0.0225","0.0002"
"1.4830","0.0228","0.0002"
"1.5030","0.0231","0.0002"
"1.5230","0.0234","0.0003"
"1.5430","0.0238","0.0003"
"1.5630","0.0242","0.0002"
"1.5830","0.0247","0.0003"
"1.6030","0.0251","0.0003"
"1.6230","0.0255","0.0002"
"1.6430","0.0258","0.0003"
"1.6630","0.0260","0.0004"
"1.6830","0.0263","0.0003"
"1.7030","0.0266","0.0003"
"1.7230","0.0270","0.0002"
"1.7430","0.0274","0.0002"
"1.7630","0.0278","0.0003"
"1.7830","0.0281","0.0003"
"1.8030","0.0284","0.0003"
"1.8230","0.0286","0.0003"
"1.8430","0.0288","0.0003"
"1.8630","0.0291","0.0002"
"1.8830","0.0294","0.0002"
"1.9030","0.0298","0.0003"
"1.9230","0.0302","0.0003"
"1.9430","0.0307","0.0003"
"1.9630","0.0311","0.0003"
"1.9830","0.0315","0.0003"
"2.0030","0.0318","0.0003"
"2.0230","0.0321","0.0002"
"2.0430","0.0324","0.0002"
"2.0630","0.0327","0.0003"
"2.0830","0.0330","0.0002"
"2.1030","0.0334","0.0002"
"2.1230","0.0336","0.0003"
"2.1430","0.0339","0.0002"
"2.1630","0.0342","0.0002"
"2.1830","0.0345","0.0002"
"2.2030","0.0348","0.0002"
"2.2230","0.0352","0.0002"
"2.2430","0.0356","0.0002"
"2.2630","0.0361","0.0003"
"2.2830","0.0365","0.0003"
"2.3030","0.0369","0.0003"
