Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0240","0.0000","0.0000"
"0.0440","0.0000","0.0000"
"0.0640","0.0000","0.0000"
"0.0840","0.0000","0.0000"
"0.1040","0.0001","-0.0001"
"0.1240","0.0003","0.0000"
"0.1440","0.0005","0.0001"
"0.1640","0.0005","0.0002"
"0.1840","0.0005","0.0001"
"0.2040","0.0007","0.0000"
"0.2240","0.0011","0.0001"
"0.2440","0.0016","0.0001"
"0.2640","0.0021","0.0001"
"0.2840","0.0027","0.0000"
"0.3040","0.0032","0.0000"
"0.3240","0.0038","0.0000"
"0.3440","0.0042","0.0000"
"0.3640","0.0045","0.0000"
"0.3840","0.0047","0.0000"
"0.4040","0.0050","0.0000"
"0.4240","0.0054","0.0001"
"0.4440","0.0058","0.0001"
"0.4640","0.0062","0.0000"
"0.4840","0.0065","0.0000"
"0.5040","0.0067","0.0000"
"0.5240","0.0069","0.0000"
"0.5440","0.0072","0.0000"
"0.5640","0.0074","0.0000"
"0.5840","0.0078","0.0000"
"0.6040","0.0081","0.0000"
"0.6240","0.0086","0.0001"
"0.6440","0.0090","0.0001"
"0.6640","0.0095","0.0001"
"0.6840","0.0099","0.0001"
"0.7040","0.0102","0.0001"
"0.7240","0.0105","0.0001"
"0.7440","0.0108","0.0001"
"0.7640","0.0111","0.0001"
"0.7840","0.0114","0.0002"
"0.8040","0.0117","0.0001"
"0.8240","0.0120","0.0000"
"0.8440","0.0123","0.0000"
"0.8640","0.0125","0.0000"
"0.8840","0.0128","0.0000"
"0.9040","0.0131","0.0001"
"0.9240","0.0135","0.0000"
"0.9440","0.0140","0.0001"
"0.9640","0.0145","0.0002"
"0.9840","0.0149","0.0001"
"1.0040","0.0153","0.0001"
"1.0240","0.0156","0.0001"
"1.0440","0.0158","0.0001"
"1.0640","0.0160","0.0001"
"1.0840","0.0163","0.0002"
"1.1040","0.0167","0.0001"
"1.1240","0.0170","0.0001"
"1.1440","0.0174","0.0000"
"1.1640","0.0178","0.0001"
"1.1840","0.0181","0.0001"
"1.2040","0.0183","0.0001"
"1.2240","0.0186","0.0001"
"1.2440","0.0188","0.0001"
"1.2640","0.0191","0.0001"
"1.2840","0.0195","0.0001"
"1.3040","0.0199","0.0002"
"1.3240","0.0204","0.0002"
"1.3440","0.0208","0.0001"
"1.3640","0.0212","0.0000"
"1.3840","0.0216","0.0000"
"1.4040","0.0219","0.0002"
"1.4240","0.0222","0.0002"
"1.4440","0.0225","0.0002"
"1.4640","0.0228","0.0001"
"1.4840","0.0231","0.0002"
"1.5040","0.0234","0.0002"
"1.5240","0.0236","0.0002"
"1.5440","0.0239","0.0001"
"1.5640","0.0241","0.0002"
"1.5840","0.0244","0.0002"
"1.6040","0.0248","0.0002"
"1.6240","0.0252","0.0002"
"1.6440","0.0256","0.0002"
"1.6640","0.0261","0.0001"
"1.6840","0.0266","0.0001"
"1.7040","0.0269","0.0002"
"1.7240","0.0272","0.0002"
"1.7440","0.0274","0.0001"
"1.7640","0.0277","0.0001"
"1.7840","0.0280","0.0001"
"1.8040","0.0284","0.0002"
"1.8240","0.0288","0.0002"
"1.8440","0.0292","0.0001"
"1.8640","0.0295","0.0001"
"1.8840","0.0297","0.0002"
"1.9040","0.0300","0.0002"
"1.9240","0.0302","0.0002"
"1.9440","0.0305","0.0001"
"1.9640","0.0308","0.0001"
"1.9840","0.0312","0.0001"
"2.0040","0.0316","0.0002"
"2.0240","0.0321","0.0002"
"2.0440","0.0325","0.0002"
"2.0640","0.0329","0.0002"
"2.0840","0.0332","0.0001"
"2.1040","0.0335","0.0002"
"2.1240","0.0338","0.0002"
"2.1440","0.0341","0.0002"
"2.1640","0.0344","0.0002"
"2.1840","0.0347","0.0002"
"2.2040","0.0350","0.0002"
"2.2240","0.0352","0.0002"
"2.2440","0.0355","0.0002"
"2.2640","0.0358","0.0003"
"2.2840","0.0361","0.0003"
"2.3040","0.0365","0.0002"
