Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0230","0.0000","0.0000"
"0.0430","0.0000","-0.0001"
"0.0630","0.0000","0.0000"
"0.0830","0.0000","0.0000"
"0.1030","0.0001","0.0000"
"0.1230","0.0003","0.0000"
"0.1430","0.0004","0.0000"
"0.1630","0.0004","0.0000"
"0.1830","0.0005","0.0000"
"0.2030","0.0006","0.0000"
"0.2230","0.0008","0.0000"
"0.2430","0.0013","-0.0001"
"0.2630","0.0019","-0.0001"
"0.2830","0.0025","0.0000"
"0.3030","0.0032","0.0000"
"0.3230","0.0038","0.0000"
"0.3430","0.0041","0.0000"
"0.3630","0.0044","0.0001"
"0.3830","0.0046","0.0000"
"0.4030","0.0049","0.0000"
"0.4230","0.0053","0.0000"
"0.4430","0.0057","0.0000"
"0.4630","0.0060","0.0000"
"0.4830","0.0063","0.0000"
"0.5030","0.0066","0.0000"
"0.5230","0.0068","0.0002"
"0.5430","0.0071","0.0001"
"0.5630","0.0074","0.0000"
"0.5830","0.0077","0.0000"
"0.6030","0.0082","0.0001"
"0.6230","0.0086","0.0001"
"0.6430","0.0091","0.0000"
"0.6630","0.0095","0.0000"
"0.6830","0.0098","0.0000"
"0.7030","0.0101","0.0001"
"0.7230","0.0105","0.0000"
"0.7430","0.0108","0.0000"
"0.7630","0.0111","0.0001"
"0.7830","0.0114","0.0000"
"0.8030","0.0117","0.0001"
"0.8230","0.0119","0.0001"
"0.8430","0.0122","0.0001"
"0.8630","0.0124","0.0001"
"0.8830","0.0127","0.0001"
"0.9030","0.0131","0.0001"
"0.9230","0.0135","0.0001"
"0.9430","0.0139","0.0001"
"0.9630","0.0144","0.0001"
"0.9830","0.0148","0.0001"
"1.0030","0.0152","0.0001"
"1.0230","0.0154","0.0001"
"1.0430","0.0157","0.0001"
"1.0630","0.0160","0.0001"
"1.0830","0.0163","0.0001"
"1.1030","0.0167","0.0001"
"1.1230","0.0171","0.0001"
"1.1430","0.0174","0.0001"
"1.1630","0.0177","0.0001"
"1.1830","0.0180","0.0001"
"1.2030","0.0182","0.0001"
"1.2230","0.0184","0.0001"
"1.2430","0.0187","0.0000"
"1.2630","0.0191","0.0001"
"1.2830","0.0195","0.0002"
"1.3030","0.0199","0.0002"
"1.3230","0.0204","0.0002"
"1.3430","0.0208","0.0002"
"1.3630","0.0212","0.0000"
"1.3830","0.0215","0.0000"
"1.4030","0.0218","0.0000"
"1.4230","0.0221","0.0001"
"1.4430","0.0224","0.0001"
"1.4630","0.0227","0.0002"
"1.4830","0.0230","0.0002"
"1.5030","0.0233","0.0002"
"1.5230","0.0235","0.0001"
"1.5430","0.0238","0.0001"
"1.5630","0.0241","0.0002"
"1.5830","0.0244","0.0001"
"1.6030","0.0248","0.0001"
"1.6230","0.0252","0.0002"
"1.6430","0.0257","0.0003"
"1.6630","0.0262","0.0002"
"1.6830","0.0266","0.0002"
"1.7030","0.0269","0.0002"
"1.7230","0.0271","0.0002"
"1.7430","0.0274","0.0001"
"1.7630","0.0277","0.0002"
"1.7830","0.0280","0.0002"
"1.8030","0.0284","0.0003"
"1.8230","0.0288","0.0003"
"1.8430","0.0291","0.0002"
"1.8630","0.0293","0.0002"
"1.8830","0.0296","0.0002"
"1.9030","0.0298","0.0002"
"1.9230","0.0301","0.0003"
"1.9430","0.0304","0.0003"
"1.9630","0.0308","0.0003"
"1.9830","0.0312","0.0003"
"2.0030","0.0316","0.0003"
"2.0230","0.0320","0.0003"
"2.0430","0.0324","0.0003"
"2.0630","0.0328","0.0003"
"2.0830","0.0331","0.0002"
"2.1030","0.0334","0.0001"
"2.1230","0.0337","0.0002"
"2.1430","0.0341","0.0002"
"2.1630","0.0344","0.0002"
"2.1830","0.0347","0.0003"
"2.2030","0.0349","0.0003"
"2.2230","0.0352","0.0002"
"2.2430","0.0354","0.0002"
"2.2630","0.0357","0.0002"
"2.2830","0.0361","0.0002"
"2.3030","0.0365","0.0002"
