Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0001"
"0.0270","0.0000","0.0001"
"0.0470","0.0000","0.0001"
"0.0670","0.0000","0.0001"
"0.0870","0.0000","0.0000"
"0.1070","0.0001","0.0000"
"0.1270","0.0003","0.0000"
"0.1470","0.0004","0.0000"
"0.1670","0.0004","0.0001"
"0.1870","0.0005","0.0001"
"0.2070","0.0005","0.0000"
"0.2270","0.0008","0.0001"
"0.2470","0.0012","0.0001"
"0.2670","0.0019","0.0001"
"0.2870","0.0026","0.0000"
"0.3070","0.0030","-0.0001"
"0.3270","0.0034","0.0000"
"0.3470","0.0036","0.0001"
"0.3670","0.0038","0.0000"
"0.3870","0.0042","0.0001"
"0.4070","0.0046","0.0000"
"0.4270","0.0051","0.0001"
"0.4470","0.0056","0.0001"
"0.4670","0.0061","0.0001"
"0.4870","0.0064","0.0001"
"0.5070","0.0067","0.0001"
"0.5270","0.0071","0.0001"
"0.5470","0.0074","0.0001"
"0.5670","0.0077","0.0001"
"0.5870","0.0080","0.0000"
"0.6070","0.0083","-0.0001"
"0.6270","0.0085","0.0000"
"0.6470","0.0088","0.0000"
"0.6670","0.0090","0.0000"
"0.6870","0.0093","0.0001"
"0.7070","0.0097","0.0001"
"0.7270","0.0101","0.0000"
"0.7470","0.0106","0.0000"
"0.7670","0.0111","0.0001"
"0.7870","0.0116","0.0001"
"0.8070","0.0119","0.0001"
"0.8270","0.0121","0.0000"
"0.8470","0.0123","0.0000"
"0.8670","0.0125","0.0001"
"0.8870","0.0128","0.0001"
"0.9070","0.0132","0.0002"
"0.9270","0.0136","0.0002"
"0.9470","0.0140","0.0001"
"0.9670","0.0143","0.0001"
"0.9870","0.0145","0.0001"
"1.0070","0.0147","0.0001"
"1.0270","0.0150","0.0002"
"1.0470","0.0153","0.0002"
"1.0670","0.0156","0.0002"
"1.0870","0.0160","0.0001"
"1.1070","0.0165","0.0001"
"1.1270","0.0169","0.0001"
"1.1470","0.0174","0.0001"
"1.1670","0.0178","0.0002"
"1.1870","0.0181","0.0002"
"1.2070","0.0184","0.0001"
"1.2270","0.0187","0.0001"
"1.2470","0.0190","0.0000"
"1.2670","0.0193","0.0000"
"1.2870","0.0196","0.0000"
"1.3070","0.0199","0.0001"
"1.3270","0.0202","0.0001"
"1.3470","0.0204","0.0001"
"1.3670","0.0207","0.0001"
"1.3870","0.0210","0.0001"
"1.4070","0.0214","0.0001"
"1.4270","0.0218","0.0001"
"1.4470","0.0223","0.0001"
"1.4670","0.0227","0.0002"
"1.4870","0.0231","0.0002"
"1.5070","0.0234","0.0002"
"1.5270","0.0236","0.0002"
"1.5470","0.0239","0.0001"
"1.5670","0.0242","0.0002"
"1.5870","0.0246","0.0002"
"1.6070","0.0250","0.0001"
"1.6270","0.0254","0.0001"
"1.6470","0.0257","0.0003"
"1.6670","0.0259","0.0003"
"1.6870","0.0262","0.0002"
"1.7070","0.0264","0.0002"
"1.7270","0.0267","0.0002"
"1.7470","0.0270","0.0002"
"1.7670","0.0274","0.0001"
"1.7870","0.0278","0.0000"
"1.8070","0.0282","0.0001"
"1.8270","0.0287","0.0001"
"1.8470","0.0291","0.0002"
"1.8670","0.0295","0.0003"
"1.8870","0.0298","0.0002"
"1.9070","0.0300","0.0001"
"1.9270","0.0303","0.0001"
"1.9470","0.0306","0.0001"
"1.9670","0.0309","0.0001"
"1.9870","0.0312","0.0002"
"2.0070","0.0315","0.0002"
"2.0270","0.0317","0.0002"
"2.0470","0.0320","0.0002"
"2.0670","0.0323","0.0002"
"2.0870","0.0327","0.0002"
"2.1070","0.0331","0.0001"
"2.1270","0.0336","0.0002"
"2.1470","0.0341","0.0002"
"2.1670","0.0345","0.0002"
"2.1870","0.0348","0.0002"
"2.2070","0.0351","0.0003"
"2.2270","0.0353","0.0003"
"2.2470","0.0356","0.0002"
"2.2670","0.0359","0.0002"
"2.2870","0.0363","0.0001"
"2.3070","0.0367","0.0002"
